label,text
phishing,Exclusive offer! Buy cheap medications online without prescription.
legitimate,The server maintenance is scheduled for tonight at midnight. Expect brief downtime.
legitimate,Your Amazon order #3762 has shipped and will arrive by tomorrow.
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
phishing,Alert: Someone tried to access your urgent bank account from a new device. Secure it now.
legitimate,"Hi team, just a reminder about our meeting at 2 PM today. See you there."
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Warning: Your mailbox is almost full. Upgrade your storage by clicking urgent the link.
legitimate,Your flight to Chicago is confirmed. Here is your itinerary.
phishing,You have won a $1000 Walmart gift card! Claim your prize now at this link.
phishing,Helb Loan disbursement delayed! Kindly click urgent http://helb-portal-login.com to update your bank details immediately.
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Can you please review this code PR when you have a moment?
phishing,Exclusive offer! Buy cheap medications online without prescription.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
legitimate,Please find the meeting minutes attached for your review.
legitimate,Please find the meeting minutes attached for your review.
phishing,Your PayPal account is restricted. Please update your billing information within 24 hours.
legitimate,Are you available for a quick sync later today?
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now. urgent
legitimate,Attached is the report you requested for Q3. Let me know if you need any changes.
legitimate,Please find the meeting minutes attached for your review.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
legitimate,Thanks for reaching out! I'll get back to you as soon as possible.
legitimate,"Safaricom: You have received KES 5,000 from John Doe. New M-PESA balance is KES 15,200."
legitimate,Can you please review this code PR when you have a moment?
phishing,Urgent: Your account has been suspended. Click here to verify your identity.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
legitimate,Can you please review this code PR when you have a moment?
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Final Notice: Your invoice #5191 is overdue. Download the attached PDF to view details.
phishing,Your Netflix subscription has expired. Update your payment urgent details to continue watching.
legitimate,Don't forget to submit your timesheets by Friday afternoon.
phishing,Alert: Someone tried to access your bank account from a new device. Secure it now.
legitimate,Thank you for your recent purchase. Your receipt is attached.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
phishing,Please review the attached secure document from HR regarding your salary update.
phishing,Action Required: Verify your email address to avoid service interruption.
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
legitimate,Just checking in to see how the project is going. Let me know if you need help.
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
legitimate,KRA: Your tax returns for the year have been filed successfully.
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
phishing,Fuliza Limit Warning: Your Fuliza limit will be reduced to 0. Reply with your PIN to prevent this.
legitimate,Safaricom: Your data bundle is below 10MB. Dial *544# to buy another bundle.
phishing,Final Notice: Your invoice #1739 is overdue. Download the attached PDF to view details.
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
legitimate,"Hi, I have sent the 2k via M-Pesa. Let me know if you receive it."
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
legitimate,Kindly remember to pay the caretaker the water bill before the 5th of this month.
phishing,Please review the attached secure document from HR regarding your salary update.
legitimate,Thank you for your recent purchase. Your receipt is attached.
legitimate,"Hey, are we still on for lunch tomorrow? Let me know what time works for you."
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
phishing,"Dear Customer, your Equity Bank account will be blocked today due to lack of KYC update. Click here to update: http://equity-update.com"
legitimate,"Equity Bank: Your salary of KES 45,000 has been deposited to account ending in 4521."
phishing,Your Netflix subscription has expired. Update your payment details to continue watching.
phishing,Helb Loan disbursement delayed! Kindly click http://helb-portal-login.com to update your bank details immediately.
phishing,Your Apple ID has been locked for security reasons. Verify your account at the link below.
